,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
1167,3692.528679282304,874.1750635549831,28.9,1,27.681,0.079,13.8,-0.011,0.313,0,26.225,0.048,22.8,-0.1169999999999999,0.335,0,54.70704897217128,-35.59618802224441
1168,3771.407269083534,675.9663621067721,23.4,1,27.893,0.1119999999999999,9.7,-0.235,0.36,0,26.231,0.057,19.0,0.081,0.436,0,54.70985449692547,-35.598078661509234
1169,2672.273929130725,438.3183867214276,32.8,1,27.961,0.089,12.2,0.0409999999999999,0.348,0,26.104,0.038,28.7,-0.157,0.337,0,54.71950044755996,-35.58457276803196
1170,2879.9048405519675,844.6886738396137,32.5,1,27.597,0.067,16.2,-0.17,0.308,0,26.172,0.043,25.4,-0.085,0.3,0,54.711805436321605,-35.58557714965018
1171,2808.081633638187,943.6477664527534,37.1,1,27.687,0.062,17.4,0.048,0.3229999999999999,0,26.107,0.035,30.9,-0.211,0.377,0,54.71057565138585,-35.58420459667848
1172,3474.54317604083,809.1235422917309,21.1,1,27.967,0.132,8.2,0.124,0.313,0,26.239,0.063,17.2,-0.207,0.332,0,54.7092534874746,-35.59358627773885
1173,3329.508028998828,1034.691623149782,32.6,1,27.64,0.07,15.5,-0.195,0.142,0,26.121,0.04,27.3,0.059,0.195,0,54.70635185779491,-35.5907043965742
1174,3931.7082685020446,1048.0763868519955,32.3,1,27.948,0.146,7.4,-0.1,0.19,0,26.259,0.036,30.4,-0.057,0.273,0,54.702963980537376,-35.598603758664055
1175,2643.1446562014394,885.8166444488763,38.9,1,27.744,0.064,17.0,-0.038,0.2239999999999999,0,26.132,0.033,32.6,0.046,0.235,0,54.71238324633734,-35.582272814904464
1176,3377.513475317108,61.58528932700297,15.8,1,27.235,0.08,13.5,0.021,0.2319999999999999,0,26.99,0.212,5.1,0.236,0.5589999999999999,0,54.72191103135352,-35.59550332880812
1177,2159.6857391424983,1673.360126974811,47.6,1,29.525,0.214,5.1,0.1009999999999999,0.198,0,26.13,0.023,46.3,0.068,0.066,0,54.70213389632992,-35.57251378310477
1178,3856.904554650011,906.596266800031,33.4,1,27.836,0.076,14.3,0.196,0.299,0,26.161,0.039,27.7,0.068,0.287,0,54.70565678401,-35.59822108767524
1179,3872.513539616976,215.54872273430703,19.6,1,27.712,0.196,5.5,-0.2189999999999999,0.238,0,26.193,0.057,19.2,0.096,0.401,0,54.71680415698976,-35.601385094246226
1180,3796.296061652332,440.9973535372811,19.3,1,27.922,0.136,8.0,-0.0279999999999999,0.204,0,26.31,0.074,14.7,0.2689999999999999,0.317,0,54.713541694533966,-35.59941319676998
1181,3303.0855599498004,51.82472791237733,13.9,1,27.519,0.096,11.3,-0.012,0.304,0,25.972,0.121,9.0,0.149,0.372,0,54.72246126288838,-35.594561644017354
1182,3834.250600947894,799.6264467663009,28.3,1,28.183000000000003,0.119,9.1,0.027,0.365,0,26.167,0.043,25.2,-0.011,0.204,0,54.707514250905405,-35.598379677317
1183,2971.045040264891,919.0291508457098,30.2,1,27.775,0.08,13.5,-0.021,0.23,0,26.194000000000003,0.043,25.0,-0.044,0.369,0,54.71011793313168,-35.586463189568725
1184,1610.9174776512275,1972.4047359538004,50.0,1,27.831,0.093,11.7,-0.023,0.075,0,26.26,0.024,45.8,-0.086,0.0559999999999999,0,54.70016494579702,-35.56398282948829
1185,2877.5486419059566,249.0506644437056,27.2,1,27.317,0.06,18.1,0.016,0.297,0,26.416,0.062,17.6,-0.184,0.486,0,54.721495570974355,-35.588094986197746
1186,3055.514269987947,1192.9389013223752,37.8,1,27.885,0.071,15.3,0.01,0.249,0,26.159,0.034,31.6,-0.059,0.1889999999999999,0,54.70522307244793,-35.586406765546386
1187,2892.0951048765214,180.021013479701,30.6,1,27.211,0.052,20.8,-0.073,0.186,0,26.262,0.054,20.2,-0.077,0.312,0,54.72254064863503,-35.58858254982492
